FR_ID,component,spec_ref_DERIVED,element,kind,width_bits,DERIVED_legal,PINNED_clause_ref(TODO),PINNED_legal(TODO),STATUS(DERIVED|PINNED|CHANGED),reachable_now,traces_to_checker,traces_to_cover/isoneg,notes
FR-SPLANE-02,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,ptp_msg,enum,4,"enum{0,1,2,3,4,5}",,,DERIVED,yes,CHK-SPLANE-02 / first_violation:ENUM_ptp_msg,cover:ptp_msg / isoneg:ENUM_ptp_msg,
FR-SPLANE-03,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,clock_state,enum,2,"enum{0,1,2,3}",,,DERIVED,no(TRUE_DEAD),CHK-SPLANE-03 / first_violation:ENUM_clock_state,cover:clock_state / isoneg:ENUM_clock_state,width-contingent deadness
FR-SPLANE-04,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,synce_ql,enum,4,"enum{0,2,4,11,15}",,,DERIVED,yes,CHK-SPLANE-04 / first_violation:ENUM_synce_ql,cover:synce_ql / isoneg:ENUM_synce_ql,
FR-SPLANE-05,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,seq,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-SPLANE-05 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-SPLANE-06,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,timing_err,range,12,range[0:3000],,,DERIVED,yes,CHK-SPLANE-06 / first_violation:RANGE_timing_err,cover:timing_err / isoneg:RANGE_timing_err,
FR-SPLANE-07,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,holdover,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-SPLANE-07 / first_violation:RANGE_holdover,cover:holdover / isoneg:RANGE_holdover,width-contingent deadness
FR-SPLANE-08,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,rsvd,const,21,const=0,,,DERIVED,yes,CHK-SPLANE-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-MPLANE-01,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,version,const,4,const=1,,,DERIVED,yes,CHK-MPLANE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-MPLANE-02,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,netconf_op,enum,3,"enum{0,1,2,3,4}",,,DERIVED,yes,CHK-MPLANE-02 / first_violation:ENUM_netconf_op,cover:netconf_op / isoneg:ENUM_netconf_op,
FR-MPLANE-03,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,datastore,enum,2,"enum{0,1,2}",,,DERIVED,yes,CHK-MPLANE-03 / first_violation:ENUM_datastore,cover:datastore / isoneg:ENUM_datastore,
FR-MPLANE-04,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,item_id,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-MPLANE-04 / first_violation:RANGE_item_id,cover:item_id / isoneg:RANGE_item_id,width-contingent deadness
FR-MPLANE-05,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,ant_cal,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-MPLANE-05 / first_violation:RANGE_ant_cal,cover:ant_cal / isoneg:RANGE_ant_cal,width-contingent deadness
FR-MPLANE-06,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,sw_slot,range,3,range[0:7],,,DERIVED,no(TRUE_DEAD),CHK-MPLANE-06 / first_violation:RANGE_sw_slot,cover:sw_slot / isoneg:RANGE_sw_slot,width-contingent deadness
FR-MPLANE-07,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-MPLANE-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-MPLANE-08,mplane,O-RAN.WG4.MP M-plane NETCONF/YANG O1,rsvd,const,27,const=0,,,DERIVED,yes,CHK-MPLANE-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-BEAMFORMING-01,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,version,const,4,const=1,,,DERIVED,yes,CHK-BEAMFORMING-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-BEAMFORMING-02,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,beam_id,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-BEAMFORMING-02 / first_violation:RANGE_beam_id,cover:beam_id / isoneg:RANGE_beam_id,width-contingent deadness
FR-BEAMFORMING-03,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,num_ports,enum,8,"enum{1,2,4,8,16,32,64}",,,DERIVED,yes,CHK-BEAMFORMING-03 / first_violation:ENUM_num_ports,cover:num_ports / isoneg:ENUM_num_ports,
FR-BEAMFORMING-04,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,num_layers,range,4,range[1:8],,,DERIVED,yes,CHK-BEAMFORMING-04 / first_violation:RANGE_num_layers,cover:num_layers / isoneg:RANGE_num_layers,
FR-BEAMFORMING-05,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,section_ext,enum,4,"enum{1,4,5,6}",,,DERIVED,yes,CHK-BEAMFORMING-05 / first_violation:ENUM_section_ext,cover:section_ext / isoneg:ENUM_section_ext,
FR-BEAMFORMING-06,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,codebook_idx,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-BEAMFORMING-06 / first_violation:RANGE_codebook_idx,cover:codebook_idx / isoneg:RANGE_codebook_idx,width-contingent deadness
FR-BEAMFORMING-07,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-BEAMFORMING-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-BEAMFORMING-08,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,rsvd,const,4,const=0,,,DERIVED,yes,CHK-BEAMFORMING-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-BEAMFORMING-09,beamforming,O-RAN.WG4.CUS Section Ext 1/4/5/6 beamforming,num_layers <= num_ports,cross,-,num_layers <= num_ports,,,DERIVED,yes,CHK-BEAMFORMING-cross1 / first_violation:CROSS_0,cover:cross / isoneg:CROSS,
FR-COMPRESSION-01,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,version,const,4,const=1,,,DERIVED,yes,CHK-COMPRESSION-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-COMPRESSION-02,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,method,enum,2,"enum{0,1,2}",,,DERIVED,yes,CHK-COMPRESSION-02 / first_violation:ENUM_method,cover:method / isoneg:ENUM_method,
FR-COMPRESSION-03,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,iq_width,const,5,const=16,,,DERIVED,yes,CHK-COMPRESSION-03 / first_violation:CONST_iq_width,cover:iq_width / isoneg:CONST_iq_width,
FR-COMPRESSION-04,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,comp_width,enum,5,"enum{9,10,11,12,13,14,15,16}",,,DERIVED,yes,CHK-COMPRESSION-04 / first_violation:ENUM_comp_width,cover:comp_width / isoneg:ENUM_comp_width,
FR-COMPRESSION-05,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,exponent,range,4,range[0:15],,,DERIVED,no(TRUE_DEAD),CHK-COMPRESSION-05 / first_violation:RANGE_exponent,cover:exponent / isoneg:RANGE_exponent,width-contingent deadness
FR-COMPRESSION-06,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,block_size,range,8,range[1:255],,,DERIVED,yes,CHK-COMPRESSION-06 / first_violation:RANGE_block_size,cover:block_size / isoneg:RANGE_block_size,
FR-COMPRESSION-07,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-COMPRESSION-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-COMPRESSION-08,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,rsvd,const,28,const=0,,,DERIVED,yes,CHK-COMPRESSION-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-COMPRESSION-09,compression,O-RAN.WG4.CUS Annex A IQ compression BFP/mu-law/static,comp_width <= iq_width,cross,-,comp_width <= iq_width,,,DERIVED,yes,CHK-COMPRESSION-cross1 / first_violation:CROSS_0,cover:cross / isoneg:CROSS,
FR-PRACH-01,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,version,const,4,const=1,,,DERIVED,yes,CHK-PRACH-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-PRACH-02,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,section_type,const,4,const=3,,,DERIVED,yes,CHK-PRACH-02 / first_violation:CONST_section_type,cover:section_type / isoneg:CONST_section_type,
FR-PRACH-03,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,format,enum,4,"enum{0,1,2,3,4,5,6,7,8,9}",,,DERIVED,yes,CHK-PRACH-03 / first_violation:ENUM_format,cover:format / isoneg:ENUM_format,
FR-PRACH-04,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,numerology,range,4,range[0:4],,,DERIVED,yes,CHK-PRACH-04 / first_violation:RANGE_numerology,cover:numerology / isoneg:RANGE_numerology,
FR-PRACH-05,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,fr,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-PRACH-05 / first_violation:RANGE_fr,cover:fr / isoneg:RANGE_fr,width-contingent deadness
FR-PRACH-06,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,zc_root,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-PRACH-06 / first_violation:RANGE_zc_root,cover:zc_root / isoneg:RANGE_zc_root,width-contingent deadness
FR-PRACH-07,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,occasion,range,6,range[0:63],,,DERIVED,no(TRUE_DEAD),CHK-PRACH-07 / first_violation:RANGE_occasion,cover:occasion / isoneg:RANGE_occasion,width-contingent deadness
FR-PRACH-08,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-PRACH-08 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-PRACH-09,prach,O-RAN.WG4.CUS Section Type 3 PRACH + 3GPP TS38.211 formats,rsvd,const,25,const=0,,,DERIVED,yes,CHK-PRACH-09 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-MIMO_MASSIVE-01,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,version,const,4,const=1,,,DERIVED,yes,CHK-MIMO_MASSIVE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-MIMO_MASSIVE-02,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,ant_cfg,enum,8,"enum{1,2,4,8,16,32,64}",,,DERIVED,yes,CHK-MIMO_MASSIVE-02 / first_violation:ENUM_ant_cfg,cover:ant_cfg / isoneg:ENUM_ant_cfg,
FR-MIMO_MASSIVE-03,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,num_layers,range,4,range[1:8],,,DERIVED,yes,CHK-MIMO_MASSIVE-03 / first_violation:RANGE_num_layers,cover:num_layers / isoneg:RANGE_num_layers,
FR-MIMO_MASSIVE-04,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,tdd_cfg,range,3,range[0:6],,,DERIVED,yes,CHK-MIMO_MASSIVE-04 / first_violation:RANGE_tdd_cfg,cover:tdd_cfg / isoneg:RANGE_tdd_cfg,
FR-MIMO_MASSIVE-05,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,rank,range,4,range[1:8],,,DERIVED,yes,CHK-MIMO_MASSIVE-05 / first_violation:RANGE_rank,cover:rank / isoneg:RANGE_rank,
FR-MIMO_MASSIVE-06,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,precoder_idx,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-MIMO_MASSIVE-06 / first_violation:RANGE_precoder_idx,cover:precoder_idx / isoneg:RANGE_precoder_idx,width-contingent deadness
FR-MIMO_MASSIVE-07,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-MIMO_MASSIVE-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-MIMO_MASSIVE-08,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,rsvd,const,25,const=0,,,DERIVED,yes,CHK-MIMO_MASSIVE-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-MIMO_MASSIVE-09,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,num_layers <= ant_cfg,cross,-,num_layers <= ant_cfg,,,DERIVED,yes,CHK-MIMO_MASSIVE-cross1 / first_violation:CROSS_0,cover:cross / isoneg:CROSS,
FR-MIMO_MASSIVE-10,mimo_massive,O-RAN.WG4.CUS Sect Ext 5/6 + 3GPP massive MIMO 64T64R,rank <= num_layers,cross,-,rank <= num_layers,,,DERIVED,yes,CHK-MIMO_MASSIVE-cross2 / first_violation:CROSS_1,cover:cross / isoneg:CROSS,
FR-BWP-01,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,version,const,4,const=1,,,DERIVED,yes,CHK-BWP-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-BWP-02,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,bwp_id,range,2,range[0:3],,,DERIVED,no(TRUE_DEAD),CHK-BWP-02 / first_violation:RANGE_bwp_id,cover:bwp_id / isoneg:RANGE_bwp_id,width-contingent deadness
FR-BWP-03,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,numerology,range,4,range[0:4],,,DERIVED,yes,CHK-BWP-03 / first_violation:RANGE_numerology,cover:numerology / isoneg:RANGE_numerology,
FR-BWP-04,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,bw_mhz,enum,9,"enum{5,10,15,20,25,40,50,60,80,100,200,400}",,,DERIVED,yes,CHK-BWP-04 / first_violation:ENUM_bw_mhz,cover:bw_mhz / isoneg:ENUM_bw_mhz,
FR-BWP-05,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,fr,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-BWP-05 / first_violation:RANGE_fr,cover:fr / isoneg:RANGE_fr,width-contingent deadness
